MCC,MNC,LAC_TAC,ENB_GNB,CI,ECI_NCI,CGI_ECGI_NCGI,PARAGON_ID,CELL_IDENTIFIER,TECNOLOGIA,BANDA,LATITUDE,LONGITUDE,AZIMUTE,NOME,MORADA,MORADA1,FREGUESIA,Concelho,Concelho_CD,Distrito,Distrito_CD,CP4,CP3,DESIGNACAO_POSTAL,DATA,DICOFRE
268,2,,101710,51,26037811,268-02-26037811,,,4,900,38.948234,-9.0112647,0,A DOS BISPOS (1),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,101710,91,26037851,268-02-26037851,,,4,2600,38.948234,-9.0112647,0,A DOS BISPOS (1),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,101710,181,26037941,268-02-26037941,,,4,1800,38.948234,-9.0112647,0,A DOS BISPOS (1),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,501710,51,128437811,268-02-128437811,,,4,900,38.948234,-9.0112647,0,A DOS BISPOS (1),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,501710,181,128437941,268-02-128437941,,,4,1800,38.948234,-9.0112647,0,A DOS BISPOS (1),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,101710,52,26037812,268-02-26037812,,,4,900,38.948234,-9.0112647,120,A DOS BISPOS (2),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,101710,92,26037852,268-02-26037852,,,4,2600,38.948234,-9.0112647,120,A DOS BISPOS (2),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,101710,182,26037942,268-02-26037942,,,4,1800,38.948234,-9.0112647,120,A DOS BISPOS (2),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,501710,52,128437812,268-02-128437812,,,4,900,38.948234,-9.0112647,120,A DOS BISPOS (2),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,501710,182,128437942,268-02-128437942,,,4,1800,38.948234,-9.0112647,120,A DOS BISPOS (2),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
